"No.","Time","Source","Destination","Protocol","Length","Multiplex ID","NT Status","Info"
"87","0.211937","10.128.0.243","172.16.156.130","TCP","54","","","445  >  50927 [ACK] Seq=445 Ack=39271 Win=64240 Len=0"
"88","0.211992","10.128.0.243","172.16.156.130","TCP","54","","","445  >  50927 [ACK] Seq=445 Ack=40731 Win=64240 Len=0"
"89","0.212050","10.128.0.243","172.16.156.130","TCP","54","","","445  >  50927 [ACK] Seq=445 Ack=42191 Win=64240 Len=0"
"90","0.212103","10.128.0.243","172.16.156.130","TCP","54","","","445  >  50927 [ACK] Seq=445 Ack=43651 Win=64240 Len=0"
"91","0.212162","10.128.0.243","172.16.156.130","TCP","54","","","445  >  50927 [ACK] Seq=445 Ack=45111 Win=64240 Len=0"
"92","0.212224","10.128.0.243","172.16.156.130","TCP","54","","","445  >  50927 [ACK] Seq=445 Ack=46571 Win=64240 Len=0"
"93","0.212421","10.128.0.243","172.16.156.130","TCP","54","","","445  >  50927 [ACK] Seq=445 Ack=48031 Win=64240 Len=0"
"94","0.212521","10.128.0.243","172.16.156.130","TCP","54","","","445  >  50927 [ACK] Seq=445 Ack=49491 Win=64240 Len=0"
"95","0.212614","10.128.0.243","172.16.156.130","TCP","54","","","445  >  50927 [ACK] Seq=445 Ack=50951 Win=64240 Len=0"
"96","0.212692","10.128.0.243","172.16.156.130","TCP","54","","","445  >  50927 [ACK] Seq=445 Ack=52411 Win=64240 Len=0"
"97","0.212771","10.128.0.243","172.16.156.130","TCP","54","","","445  >  50927 [ACK] Seq=445 Ack=53871 Win=64240 Len=0"
"98","0.212862","10.128.0.243","172.16.156.130","TCP","54","","","445  >  50927 [ACK] Seq=445 Ack=55331 Win=64240 Len=0"
"99","0.212959","10.128.0.243","172.16.156.130","TCP","54","","","445  >  50927 [ACK] Seq=445 Ack=56791 Win=64240 Len=0"
"100","0.213024","10.128.0.243","172.16.156.130","TCP","54","","","445  >  50927 [ACK] Seq=445 Ack=58251 Win=64240 Len=0"
"101","0.213139","10.128.0.243","172.16.156.130","TCP","54","","","445  >  50927 [ACK] Seq=445 Ack=59711 Win=64240 Len=0"
"102","0.213347","10.128.0.243","172.16.156.130","TCP","54","","","445  >  50927 [ACK] Seq=445 Ack=61171 Win=64240 Len=0"
"103","0.213530","10.128.0.243","172.16.156.130","TCP","54","","","445  >  50927 [ACK] Seq=445 Ack=62631 Win=64240 Len=0"
"104","0.213705","10.128.0.243","172.16.156.130","TCP","54","","","445  >  50927 [ACK] Seq=445 Ack=63886 Win=64240 Len=0"
"105","0.371084","10.128.0.243","172.16.156.130","SMB","107","65","STATUS_SUCCESS","Echo Response"
"106","0.371555","172.16.156.130","10.128.0.243","TCP","66","","","50928  >  445 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM"
"107","0.400037","10.128.0.243","172.16.156.130","TCP","58","","","445  >  50928 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
"108","0.400246","172.16.156.130","10.128.0.243","TCP","54","","","50928  >  445 [ACK] Seq=1 Ack=1 Win=64240 Len=0"
"109","0.400443","172.16.156.130","10.128.0.243","SMB","191","64","STATUS_SUCCESS","Negotiate Protocol Request"
"110","0.400509","10.128.0.243","172.16.156.130","TCP","54","","","445  >  50928 [ACK] Seq=1 Ack=138 Win=64240 Len=0"
"111","0.423559","172.16.156.130","10.128.0.243","TCP","54","","","50927  >  445 [ACK] Seq=63886 Ack=498 Win=63743 Len=0"
"112","0.501739","10.128.0.243","172.16.156.130","SMB","185","64","STATUS_SUCCESS","Negotiate Protocol Response"
"113","0.502008","172.16.156.130","10.128.0.243","SMB","139","64","STATUS_SUCCESS","Session Setup AndX Request"
"114","0.502087","10.128.0.243","172.16.156.130","TCP","54","","","445  >  50928 [ACK] Seq=132 Ack=223 Win=64240 Len=0"
"115","0.534848","10.128.0.243","172.16.156.130","SMB","243","64","STATUS_SUCCESS","Session Setup AndX Response"
"116","0.535259","172.16.156.130","10.128.0.243","TCP","66","","","50929  >  445 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM"
"117","0.562860","10.128.0.243","172.16.156.130","TCP","58","","","445  >  50929 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
"118","0.563026","172.16.156.130","10.128.0.243","TCP","54","","","50929  >  445 [ACK] Seq=1 Ack=1 Win=64240 Len=0"
"119","0.563137","172.16.156.130","10.128.0.243","TCP","186","","","50929  >  445 [PSH, ACK] Seq=1 Ack=1 Win=64240 Len=132 [TCP segment of a reassembled PDU]"
"120","0.563215","10.128.0.243","172.16.156.130","TCP","54","","","445  >  50929 [ACK] Seq=1 Ack=133 Win=64240 Len=0"
"121","0.563395","172.16.156.130","10.128.0.243","TCP","66","","","50930  >  445 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM"
"122","0.592356","172.16.156.130","10.128.0.243","TCP","54","","","50928  >  445 [ACK] Seq=223 Ack=321 Win=63920 Len=0"
"123","0.593193","10.128.0.243","172.16.156.130","TCP","58","","","445  >  50930 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
"124","0.593432","172.16.156.130","10.128.0.243","TCP","54","","","50930  >  445 [ACK] Seq=1 Ack=1 Win=64240 Len=0"
"125","0.593617","172.16.156.130","10.128.0.243","TCP","186","","","50930  >  445 [PSH, ACK] Seq=1 Ack=1 Win=64240 Len=132 [TCP segment of a reassembled PDU]"
"126","0.593744","10.128.0.243","172.16.156.130","TCP","54","","","445  >  50930 [ACK] Seq=1 Ack=133 Win=64240 Len=0"
"127","0.593917","172.16.156.130","10.128.0.243","TCP","66","","","50931  >  445 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM"
"128","0.623068","10.128.0.243","172.16.156.130","TCP","58","","","445  >  50931 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
"129","0.623724","172.16.156.130","10.128.0.243","TCP","54","","","50931  >  445 [ACK] Seq=1 Ack=1 Win=64240 Len=0"
"130","0.623888","172.16.156.130","10.128.0.243","TCP","186","","","50931  >  445 [PSH, ACK] Seq=1 Ack=1 Win=64240 Len=132 [TCP segment of a reassembled PDU]"
"131","0.623985","10.128.0.243","172.16.156.130","TCP","54","","","445  >  50931 [ACK] Seq=1 Ack=133 Win=64240 Len=0"
"132","0.624202","172.16.156.130","10.128.0.243","TCP","66","","","50932  >  445 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM"
"133","0.653683","10.128.0.243","172.16.156.130","TCP","58","","","445  >  50932 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
"134","0.654778","172.16.156.130","10.128.0.243","TCP","54","","","50932  >  445 [ACK] Seq=1 Ack=1 Win=64240 Len=0"
"135","0.654922","172.16.156.130","10.128.0.243","TCP","186","","","50932  >  445 [PSH, ACK] Seq=1 Ack=1 Win=64240 Len=132 [TCP segment of a reassembled PDU]"
"136","0.655019","10.128.0.243","172.16.156.130","TCP","54","","","445  >  50932 [ACK] Seq=1 Ack=133 Win=64240 Len=0"
"137","0.655254","172.16.156.130","10.128.0.243","TCP","66","","","50933  >  445 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM"
"138","0.683919","10.128.0.243","172.16.156.130","TCP","58","","","445  >  50933 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
"139","0.684112","172.16.156.130","10.128.0.243","TCP","54","","","50933  >  445 [ACK] Seq=1 Ack=1 Win=64240 Len=0"
"140","0.684221","172.16.156.130","10.128.0.243","TCP","186","","","50933  >  445 [PSH, ACK] Seq=1 Ack=1 Win=64240 Len=132 [TCP segment of a reassembled PDU]"
"141","0.684391","10.128.0.243","172.16.156.130","TCP","54","","","445  >  50933 [ACK] Seq=1 Ack=133 Win=64240 Len=0"
"142","0.684443","172.16.156.130","10.128.0.243","TCP","66","","","50934  >  445 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM"
